Matched_RM,Period,Year,precip
SPRINGFIELD,Jul2023,2023,52.03260869565217
ARGYLE,Jul2023,2023,27.387096774193548
ROLAND,Jul2023,2023,33.1
MONTCALM,Jul2023,2023,53.628571428571426
MOUNTAIN,Jul2023,2023,28.90748898678414
ALONSA,Jul2023,2023,41.84897959183674
GIMLI,Jul2023,2023,39.541666666666664
COLDWELL,Jul2023,2023,42.973333333333336
STANLEY,Jul2023,2023,31.189655172413794
FISHER,Jul2023,2023,50.459016393442624
PORTAGE LA PRAIRIE,Jul2023,2023,25.948275862068964
ELTON,Jul2023,2023,33.125
HEADINGLEY,Jul2023,2023,34.9
CORNWALLIS,Jul2023,2023,32.95454545454545
MCCREARY,Jul2023,2023,39.80434782608695
BOISSEVAIN-MORTON,Jul2023,2023,28.625
PIPESTONE,Jul2023,2023,25.964285714285715
VICTORIA,Jul2023,2023,32.7
HANOVER,Jul2023,2023,65.62264150943396
ST. ANDREWS,Jul2023,2023,45.59016393442623
SOURIS-GLENWOOD,Jul2023,2023,38.7
ELLICE-ARCHIE,Jul2023,2023,28.927710843373493
LOUISE,Jul2023,2023,20.608695652173914
LA BROQUERIE,Jul2023,2023,81.14285714285714
CLANWILLIAM-ERICKSON,Jul2023,2023,25.464285714285715
STE. ROSE,Jul2023,2023,45.791666666666664
GRANDVIEW,Jul2023,2023,41.39393939393939
SWAN VALLEY WEST,Jul2023,2023,30.401459854014597
OAKVIEW,Jul2023,2023,31.163265306122447
STUARTBURN,Jul2023,2023,67.95
THOMPSON,Jul2023,2023,67.0
GRAHAMDALE,Jul2023,2023,43.850515463917525
ST. CLEMENTS,Jul2023,2023,55.857142857142854
PINEY,Jul2023,2023,85.78021978021978
KELSEY,Jul2023,2023,56.16216216216216
ROCKWOOD,Jul2023,2023,42.44897959183673
WEST ST. PAUL,Jul2023,2023,41.833333333333336
MACDONALD,Jul2023,2023,38.81609195402299
BIFROST-RIVERTON,Jul2023,2023,60.32575757575758
NORTH CYPRESS-LANGFORD,Jul2023,2023,27.161073825503355
SIFTON,Jul2023,2023,34.68333333333333
STE. ANNE,Jul2023,2023,72.55882352941177
HAMIOTA,Jul2023,2023,34.0
BRENDA-WASKADA,Jul2023,2023,27.714285714285715
DAUPHIN,Jul2023,2023,40.32231404958678
ARMSTRONG,Jul2023,2023,39.19230769230769
WOODLANDS,Jul2023,2023,42.029411764705884
GILBERT PLAINS,Jul2023,2023,40.08080808080808
DESALABERRY,Jul2023,2023,64.52727272727273
ROSEDALE,Jul2023,2023,28.727272727272727
REYNOLDS,Jul2023,2023,91.50735294117646
WHITEMOUTH,Jul2023,2023,67.98333333333333
ROSSER,Jul2023,2023,38.625
WHITEHEAD,Jul2023,2023,37.66
GLENBORO-SOUTH CYPRESS,Jul2023,2023,34.48148148148148
BROKENHEAD,Jul2023,2023,54.293103448275865
TACHE,Jul2023,2023,56.95
RITCHOT,Jul2023,2023,47.23076923076923
PRAIRIE VIEW,Jul2023,2023,28.340579710144926
GLENELLA-LANSDOWNE,Jul2023,2023,23.712871287128714
RIDING MOUNTAIN WEST,Jul2023,2023,38.68707482993197
DUFFERIN,Jul2023,2023,33.625
ETHELBERT,Jul2023,2023,32.82954545454545
PRAIRIE LAKES,Jul2023,2023,31.43820224719101
RIVERDALE,Jul2023,2023,33.47727272727273
OAKLAND-WAWANESA,Jul2023,2023,34.175
MINITONAS-BOWSMAN,Jul2023,2023,28.385416666666668
TWO BORDERS,Jul2023,2023,26.167630057803468
LAKESHORE,Jul2023,2023,40.9009009009009
MORRIS,Jul2023,2023,43.01123595505618
HARRISON PARK,Jul2023,2023,29.79787234042553
EMERSON-FRANKLIN,Jul2023,2023,64.0
GRASSLAND,Jul2023,2023,32.45
CARTWRIGHT-ROBLIN,Jul2023,2023,27.29090909090909
ST. LAURENT,Jul2023,2023,36.12820512820513
RHINELAND,Jul2023,2023,38.36923076923077
PEMBINA,Jul2023,2023,23.835443037974684
CARTIER,Jul2023,2023,32.659574468085104
DELORAINE-WINCHESTER,Jul2023,2023,29.403846153846153
NORFOLK-TREHERNE,Jul2023,2023,34.36538461538461
WESTLAKE-GLADSTONE,Jul2023,2023,21.993333333333332
WALLACE-WOODWORTH,Jul2023,2023,28.452380952380953
GREY,Jul2023,2023,32.63235294117647
WEST INTERLAKE,Jul2023,2023,42.92465753424658
ALEXANDER,Jul2023,2023,46.40601503759399
WINNIPEG,Jul2023,2023,44.714285714285715
LORNE,Jul2023,2023,31.623529411764707
ROSSBURN,Jul2023,2023,39.921875
YELLOWHEAD,Jul2023,2023,26.202380952380953
MINTO-ODANAH,Jul2023,2023,25.758064516129032
NORTH NORFOLK,Jul2023,2023,21.617021276595743
RUSSELL-BINSCARTH,Jul2023,2023,41.30612244897959
MOSSEY RIVER,Jul2023,2023,34.13186813186813
