Matched_RM,Crop,Year,Weighted_Avg_Yield
ALEXANDER,ARGENTINE CANOLA,2004,33.77584269662922
ALEXANDER,ARGENTINE CANOLA,2005,15.181365030674847
ALEXANDER,ARGENTINE CANOLA,2006,37.66525600835945
ALEXANDER,ARGENTINE CANOLA,2007,18.11980450488738
ALEXANDER,ARGENTINE CANOLA,2008,35.74707646176912
ALEXANDER,ARGENTINE CANOLA,2009,21.811017984983415
ALEXANDER,ARGENTINE CANOLA,2010,14.987506132461162
ALEXANDER,ARGENTINE CANOLA,2011,25.577755644090306
ALEXANDER,ARGENTINE CANOLA,2012,12.816299862448417
ALEXANDER,ARGENTINE CANOLA,2013,44.0496953541508
ALEXANDER,ARGENTINE CANOLA,2014,27.70030903940253
ALEXANDER,ARGENTINE CANOLA,2015,36.10388098318241
ALEXANDER,ARGENTINE CANOLA,2016,36.92997606701236
ALEXANDER,ARGENTINE CANOLA,2017,54.9
ALEXANDER,ARGENTINE CANOLA,2018,41.66707938820102
ALEXANDER,ARGENTINE CANOLA,2019,40.166531073446336
ALEXANDER,ARGENTINE CANOLA,2020,32.3
ALEXANDER,ARGENTINE CANOLA,2021,32.61536541080345
ALEXANDER,ARGENTINE CANOLA,2022,44.87612319864369
ALEXANDER,ARGENTINE CANOLA,2023,59.5
ALEXANDER,BARLEY,2004,65.2
ALEXANDER,BARLEY,2006,65.3
ALEXANDER,BARLEY,2007,36.1
ALEXANDER,BARLEY,2008,50.2
ALEXANDER,BARLEY,2009,28.4
ALEXANDER,BARLEY,2010,25.2
ALEXANDER,BARLEY,2012,29.6
ALEXANDER,BARLEY,2021,48.1
ALEXANDER,OATS,2004,94.04407807966236
ALEXANDER,OATS,2005,30.3
ALEXANDER,OATS,2006,81.30848379377855
ALEXANDER,OATS,2007,59.06914682539682
ALEXANDER,OATS,2008,83.12949035131122
ALEXANDER,OATS,2009,66.25810769698813
ALEXANDER,OATS,2010,63.8
ALEXANDER,OATS,2011,75.8
ALEXANDER,OATS,2012,98.76912442396313
ALEXANDER,OATS,2013,119.4
ALEXANDER,OATS,2014,70.06571809693196
ALEXANDER,OATS,2016,104.9
ALEXANDER,OATS,2018,138.4
ALEXANDER,OATS,2019,100.9
ALEXANDER,OATS,2020,90.8
ALEXANDER,OATS,2021,119.9
ALEXANDER,RED SPRING WHEAT,2004,45.68378378378379
ALEXANDER,RED SPRING WHEAT,2005,18.4
ALEXANDER,RED SPRING WHEAT,2006,49.2
ALEXANDER,RED SPRING WHEAT,2007,21.0
ALEXANDER,RED SPRING WHEAT,2008,34.8
ALEXANDER,RED SPRING WHEAT,2009,40.8
ALEXANDER,RED SPRING WHEAT,2010,29.11941251596424
ALEXANDER,RED SPRING WHEAT,2012,20.0
ALEXANDER,RED SPRING WHEAT,2013,53.978107734806635
ALEXANDER,RED SPRING WHEAT,2014,50.29563433929095
ALEXANDER,RED SPRING WHEAT,2015,61.932484287131985
ALEXANDER,RED SPRING WHEAT,2016,46.44326005806719
ALEXANDER,RED SPRING WHEAT,2017,68.10717978173464
ALEXANDER,RED SPRING WHEAT,2018,70.40956663941128
ALEXANDER,RED SPRING WHEAT,2019,57.31762270845654
ALEXANDER,RED SPRING WHEAT,2020,61.84753410283315
ALEXANDER,RED SPRING WHEAT,2021,83.90420233463036
ALEXANDER,RED SPRING WHEAT,2022,61.182356124842144
ALEXANDER,RED SPRING WHEAT,2023,84.2
ALONSA,ARGENTINE CANOLA,2004,35.6
ALONSA,ARGENTINE CANOLA,2005,26.193227665706054
ALONSA,ARGENTINE CANOLA,2006,35.1
ALONSA,ARGENTINE CANOLA,2007,11.985289514866981
ALONSA,ARGENTINE CANOLA,2008,30.32093077101181
ALONSA,ARGENTINE CANOLA,2009,41.05452276980661
ALONSA,ARGENTINE CANOLA,2010,21.957791989229218
ALONSA,ARGENTINE CANOLA,2012,18.638761598182164
ALONSA,ARGENTINE CANOLA,2013,35.01601199828596
ALONSA,ARGENTINE CANOLA,2014,23.19848361765502
ALONSA,ARGENTINE CANOLA,2015,36.45282574568289
ALONSA,ARGENTINE CANOLA,2016,37.75188625157666
ALONSA,ARGENTINE CANOLA,2017,38.7578183477864
ALONSA,ARGENTINE CANOLA,2018,28.687110143298682
ALONSA,ARGENTINE CANOLA,2019,28.825742773019268
ALONSA,ARGENTINE CANOLA,2020,37.416469594594595
ALONSA,ARGENTINE CANOLA,2021,16.519001715546114
ALONSA,ARGENTINE CANOLA,2022,26.4
ALONSA,ARGENTINE CANOLA,2023,44.30915999008838
ALONSA,BARLEY,2004,64.1
ALONSA,BARLEY,2006,38.02536610878661
ALONSA,BARLEY,2007,59.1
ALONSA,BARLEY,2008,68.6
ALONSA,BARLEY,2009,87.8
ALONSA,BARLEY,2013,88.7
ALONSA,BARLEY,2015,65.2
ALONSA,BARLEY,2016,71.4
ALONSA,BARLEY,2018,51.9
ALONSA,BARLEY,2019,49.5
ALONSA,BARLEY,2020,93.70000000000002
ALONSA,BARLEY,2021,31.6
ALONSA,BARLEY,2023,54.4
ALONSA,OATS,2006,62.60775213896811
ALONSA,OATS,2007,71.43080872913993
ALONSA,OATS,2008,75.3397939717665
ALONSA,OATS,2009,89.00050041701418
ALONSA,OATS,2010,40.5
ALONSA,OATS,2012,56.46373414230557
ALONSA,OATS,2013,83.47018332756831
ALONSA,OATS,2014,67.6
ALONSA,OATS,2015,82.71521911090018
ALONSA,OATS,2016,77.7
ALONSA,OATS,2017,81.37413632119514
ALONSA,OATS,2018,41.03243761996161
ALONSA,OATS,2019,58.10638111888112
ALONSA,OATS,2020,111.5203125
ALONSA,OATS,2021,15.11913903432228
ALONSA,RED SPRING WHEAT,2004,52.331892697466465
ALONSA,RED SPRING WHEAT,2005,36.9
ALONSA,RED SPRING WHEAT,2006,37.554299407950374
ALONSA,RED SPRING WHEAT,2007,32.4
ALONSA,RED SPRING WHEAT,2008,40.4
ALONSA,RED SPRING WHEAT,2009,43.63226444972288
ALONSA,RED SPRING WHEAT,2010,26.096113074204947
ALONSA,RED SPRING WHEAT,2012,47.6
ALONSA,RED SPRING WHEAT,2013,56.02115143929912
ALONSA,RED SPRING WHEAT,2014,31.88510882016036
ALONSA,RED SPRING WHEAT,2015,44.941878059635066
ALONSA,RED SPRING WHEAT,2016,59.0
ALONSA,RED SPRING WHEAT,2017,69.39145957848379
ALONSA,RED SPRING WHEAT,2018,42.73900350330868
ALONSA,RED SPRING WHEAT,2019,45.699027521151415
ALONSA,RED SPRING WHEAT,2020,65.1
ALONSA,RED SPRING WHEAT,2021,31.980614657210406
ALONSA,RED SPRING WHEAT,2022,52.34661921708185
ALONSA,RED SPRING WHEAT,2023,55.7
ARGYLE,ARGENTINE CANOLA,2004,33.078804934464145
ARGYLE,ARGENTINE CANOLA,2005,28.454649067814316
ARGYLE,ARGENTINE CANOLA,2006,30.13601516775204
ARGYLE,ARGENTINE CANOLA,2007,28.921065023840665
ARGYLE,ARGENTINE CANOLA,2008,37.87377453776592
ARGYLE,ARGENTINE CANOLA,2009,43.491540704365846
ARGYLE,ARGENTINE CANOLA,2010,42.780488293519404
ARGYLE,ARGENTINE CANOLA,2011,29.80368890428506
ARGYLE,ARGENTINE CANOLA,2012,29.121464607165997
ARGYLE,ARGENTINE CANOLA,2013,43.969785111281666
ARGYLE,ARGENTINE CANOLA,2014,41.87807457701789
ARGYLE,ARGENTINE CANOLA,2015,43.80423004688996
ARGYLE,ARGENTINE CANOLA,2016,37.20150092206817
ARGYLE,ARGENTINE CANOLA,2017,42.569007473504946
